money,sentence,url,word
$1,"
	In 2010, Treasury also designated Tajideen's brothers and business partners, Ali and Hussein, on similar charges. The department noted that Ali is a former Hezbollah commander and has provided cash to the group in tranches as large as $1 million. He is also a major player in Jihad al-Binaa, a Lebanon-based construction company formed and operated by Hezbollah and separately designated by Treasury in 2007. His other brother Hussein is a primary Hezbollah fundraiser and prominent supporter in The Gambia; he was later expelled from that country in 2015 for these alleged ties.",https://www.washingtoninstitute.org/policy-analysis/view/will-morocco-extradite-a-hezbollah-financier-to-the-united-states,Construction
$700," Representatives from Hezbollah’s Al-Nour radio and Al-Manar TV allegedly attended U.S.-funded training workshops at the university between 2007 and 2009. According to U.S. attorneys, the university accepted grant money from USAID for years without ensuring against the provision of material support to U.S.-designated entities. Prosecutors also accused the university of linking its website to Hezbollah’s U.S.-designated construction arm. In that same month, the university settled the claims for $700 million.",https://www.counterextremism.com/hezbollah-in-lebanon,Construction
$600,"
	Flush with revenues from skyrocketing oil prices, Iran reportedly had ramped up its funding to defray Hezbollah's soaring costs as it attempted to rebuild following its 2006 war with Israel. The funds went toward fulfilling Hezbollah's unprecedented needs in areas such as restocking weapons supplies, investing in reconstruction, and buying favor within both the various sectarian communities and Lebanese towns and villages that suffered damage during the war. The 2009 Lebanese elections also were expensive, with Hezbollah increasingly desperate for support in order to compete with its Sunni political rivals, who were funded by Saudi Arabia. According to one report, as the election neared, Iran allegedly pledged as much as $600-million to Hezbollah for its political campaign. In recent years, Israeli sources estimated, Iran had provided Hezbollah some $1 billion in direct military aid.",https://www.washingtoninstitute.org/policy-analysis/view/tough-times-for-hezbollah,Reconstruction
$700,"
	Hezbollah reportedly wants access to this cash flow because it is worried about losing some of its funding from Iran. To be sure, foreign Shia militias remain a top budgetary priority for Iran’s Islamic Revolutionary Guard Corps. Yet Hezbollah seems unsure if the estimated $700 million it receives annually from Tehran can feasibly be maintained in light of tougher U.S. sanctions, more of which are scheduled to be implemented on November 4. Likewise, if the growing tension between Iran and Israel erupts into a regional war, Hezbollah may fear that Tehran will be unable to fund the reconstruction of destroyed Lebanese towns as it did in the aftermath of the 2006 conflagration.",https://www.washingtoninstitute.org/policy-analysis/view/why-does-hezbollah-want-lebanons-health-ministry,Reconstruction
$1,"“A Lebanese businessman accused of helping finance Hezbollah pleaded guilty Thursday to committing roughly $1 billion in unlawful transactions since 2009 in a deal with federal prosecutors that calls for five years in prison and a forfeiture of $50 million. Kassim Tajideen, 63, is a Lebanese Belgian citizen who headed a multibillion-dollar commodities shipping empire from Beirut. He was arrested and charged in March 2017 with evading U.S. government sanctions imposed after he was added in 2009 to a Treasury Department list targeting supporters of the Iran-backed terrorist organization. In federal court in Washington, Tajideen pleaded guilty to one count of conspiracy to commit money laundering. He has been held since he was arrested in Morocco in March 2017 at Casablanca’s airport while traveling on business from Guinea to Beirut. His plea is contingent on court approval. The rest of an 11-count indictment against him was dismissed, including conspiracy and fraud charges related to alleged violations of Treasury sanctions that banned Tajideen from dealings with U.S. businesses.”",https://www.counterextremism.com/roundup/eye-extremism-december-7-2018,Airport
$200,"
	Over the past six months, Iranian personnel have established military posts and security networks across the southwestern province of Deraa. Concurrently, they and their Hezbollah proxies have constructed at least eight local Shia religious centers and five religious schools. Recognizing the area’s abysmal economic and security situation, Iran is also reportedly offering jobs to young Sunni residents without requiring them to take up arms. For about $200 a month, many of these unemployed young men would rather join Iran’s militias in noncombat roles than be arrested, conscripted, or killed by the Assad regime.",https://www.washingtoninstitute.org/policy-analysis/view/pushing-back-on-iran-in-syria-part-1-beyond-the-boots,School
$2.6,"
	Israeli Druze are nervous about two developments: the threat to Syrian Druze, and the recruitment of Druze youths into terrorist cells operating at the behest of Iran and Hezbollah. This week, thousands of Israeli Druze demonstrated in the northern towns of Isfiya and Majdal Shams, calling attention to the immediate threat their Syrian counterparts face from JN. They have also sent more than $2.6 million to Syrian Druze via Jordan for the purchase of weapons and other items.",https://www.washingtoninstitute.org/policy-analysis/view/syrias-druze-under-threat,Development
$80,"According to the State Department's Patterns of Global Terrorism 2002 (issued in April 2003), Tehran provides the Lebanon-based Hizballah with ""funding, safe haven, training, and weapons."" Such support (estimated at $80 million per year) has given Iran a terrorist proxy of global reach. For example, Hizballah suicide bombings against the U.S. Marine barracks and the U.S. embassy annex in Beirut (in October 1983 and September 1984, respectively) killed some 300 U.S. diplomats and soldiers. In addition, the twenty-two individuals on the FBI's list of Most Wanted Terrorists include three Hizballah operatives accused of the 1985 hijacking of TWA Flight 847, during which a U.S. Navy diver was murdered. The hijacking featured the infamous image of an American pilot peering out of the cockpit with a gun to his head. Moreover, according to a November 1, 1996, report by the Washington Post, Saudi intelligence concluded that a local group calling itself Hizballah was responsible for the June 1996 truck bombing of the Khobar Towers U.S. military housing complex on the kingdom's Persian Gulf coast. The Saudis also asserted that this local group was a wing of Lebanese Hizballah. More recently, Hizballah secretary-general Hassan Nasrallah made the following remarks in a speech given one week before coalition forces launched Operation Iraqi Freedom (as broadcast on al-Manar, the organization's Beirut-based satellite television station): ""In the past, when the Marines were in Beirut, we screamed, 'Death to America!' Today, when the region is being filled with hundreds of thousands of American soldiers, 'Death to America!' was, is, and will stay our slogan.""",https://www.washingtoninstitute.org/policy-analysis/view/irans-threat-to-coalition-forces-in-iraq,Station
$7,"The Cedar Conference, also referred to as Paris IV, will bring together the international community in an effort to boost Lebanon's economy and infrastructure. More than $7 billion in assistance was pledged at the Paris III conference, held in 2007 in the wake of the 34-day 2006 war between Israel and Hezbollah that crippled Lebanese infrastructure. ",http://www.dailystar.com.lb/News/Lebanon-News/2018/Jan-28/435792-paris-iv-without-lebanese-reforms-wont-help-hasbani.ashx?utm_source=Magnet%26utm_medium=Entity%20page%26utm_campaign=Magnet%20tools,Infrastructure
$600,"
	Meanwhile, Yaakoub did patient undercover work in Cyprus, according to his confession and evidence at his trial. Hezbollah provided expense money and a salary of $600 a month. He burnished his cover story by registering his import-export firm, looking into acquiring a warehouse, meeting with clients and, on his handler's advice, developing a social life on the island.",https://www.theatlantic.com/international/archive/2013/04/how-hezbollah-trained-operative-spy-israeli-tourists/315853/,House
$4.5,"She added that the organization based in the western city of Essen had raised 3.3 million euros ($4.5 million) in donations between 2007 and 2013 for the Lebanese Shahid Foundation, which she said was an ""integral"" part of Hezbollah's work. ",http://www.dailystar.com.lb/News/Lebanon-News/2014/Apr-09/252763-germany-bans-charity-for-hezbollah-links.ashx?utm_source=Magnet%26utm_medium=Entity%20page%26utm_campaign=Magnet%20tools,Donation
$600,"
	Meanwhile, Yaakoub did patient undercover work in Cyprus, according to his confession and evidence at his trial. Hezbollah provided expense money and a salary of $600 a month. He burnished his cover story by registering his import-export firm, looking into acquiring a warehouse, meeting with clients and, on his handler's advice, developing a social life on the island.",https://www.theatlantic.com/international/archive/2013/04/how-hezbollah-trained-operative-spy-israeli-tourists/315853/,House
